"record_type","id","title","category_or_severity","species","content_hash","review_status","reviewer","license_number","reviewed_at","production_eligible"
"knowledge_card","OS-ORAL-003","犬牙龈红和口臭","oral","dog","69328f1471e5496826cd86ee1fe9c1512955f45d303f4a0343cd2dcd9d8be973","pending","","","","false"
"knowledge_card","OS-ORAL-004","猫可能出现口腔疼痛的表现","oral","cat","d0be8649b20d83f381f5142ccb35ca93ca9535164018afade2b094264b628e6a","pending","","","","false"
"knowledge_card","OS-MSK-001","犬起身僵硬或活动减少","musculoskeletal","dog","a89606f74d73bf7d1f4360915c7035851962645b76f2ca5d05a3c1fec77f6ab7","pending","","","","false"
"knowledge_card","OS-MSK-002","猫减少跳跃","musculoskeletal","cat","894953b1c1b07185c41552d8247227fc509d7a122921192fd957cb5be685f668","pending","","","","false"
"knowledge_card","OS-MSK-003","老年猫狗活动变化需要记录什么","musculoskeletal","cat|dog","61dd8ed05f5d5673fe724cf19d7db29ff0e9a4d21546162cda3145b5675ee770","pending","","","","false"
"knowledge_card","OS-UR-001","猫频繁进猫砂盆但尿量很少","urinary","cat","dc1f2afcd1c4e34bc68271cd656e382e2df78ee5e3850d238b809fb28ac04c72","pending","","","","false"
"knowledge_card","OS-UR-002","猫尿中带血","urinary","cat","6c19a7ad9d4ee422ee287c4081181574bbd4f9c59b923ed3240356397b1ad3ae","pending","","","","false"
"knowledge_card","OS-UR-003","猫尿道阻塞风险","urinary","cat","6ffbb348c71185ff9eedabeda61f6ef4c8d244a802baffd3b700e17e211aebba","pending","","","","false"
"knowledge_card","OS-SKIN-001","犬反复瘙痒","dermatology","dog","a49e621fb153331362033313cc5274da3afa2ed927741d951e897fb218d56c37","pending","","","","false"
"knowledge_card","OS-SKIN-002","犬舔爪和耳朵反复不适","dermatology","dog","e1165b0abd197d071998b754df5f050fdf7f0a23fec1ed7fe55d8a92c36a9ce4","pending","","","","false"
"knowledge_card","OS-SKIN-003","猫狗局部脱毛不能只凭照片判断","dermatology","cat|dog","ca6af57d4e0fac0adef754dc6d83212c7e91c0581c72e64607704e305e0d8b15","pending","","","","false"
"knowledge_card","OS-BEH-001","猫到新环境后躲藏","behavior","cat","a7f40b1e59583f6861e645171c644bb80198fc633e25786af660f38e1e72a2a9","pending","","","","false"
"knowledge_card","OS-BEH-002","室内猫环境丰富化","behavior","cat","52c7262c3975d6638ad0ccd9c5f849626ee1095c0b1bd03d886c376a952de63f","pending","","","","false"
"knowledge_card","OS-VAX-001","幼猫幼犬疫苗计划","preventive_care","cat|dog","db10c70d31ea3ea44cdd8375385388020dae9ce097232d6e07a80a65bbbf05d0","pending","","","","false"
"knowledge_card","OS-VAX-002","猫注射部位出现肿块","preventive_care","cat","084f6c061438a17b10be09d9c9e0032e75d40e50c0ce76180913f80a93c058d7","pending","","","","false"
"knowledge_card","OS-EYE-001","犬眼睛突然眯眼、发红或浑浊","eye","dog","951545a57a4707643281e3e24c3aa99f6748028e23b90137525af54f0b10a31e","pending","","","","false"
"knowledge_card","OS-EYE-002","犬突然视力下降","eye","dog","272f0ef86fc426ba98a34d0c031202cfc0cdd6c0712678c098c042d65c760207","pending","","","","false"
"knowledge_card","MVP-GI-001","猫反复腹泻需排查寄生虫和其他病因","gastrointestinal","cat","4eeae2191af08eaedd8c20146d5c64a9436024dc5904405b786aee23ff31ee9f","pending","","","","false"
"knowledge_card","MVP-GI-002","犬偶发一次呕吐","gastrointestinal","dog","35715f5c5ce3263cb452882965180366f7ac20aadb8864315312f26429fab459","pending","","","","false"
"knowledge_card","MVP-GI-003","犬反复呕吐","gastrointestinal","dog","c32147ecc91b662db78561d9636076225682b1867fbb189bc1652040ef55fe26","pending","","","","false"
"knowledge_card","MVP-GI-004","猫偶发呕吐需要观察什么","gastrointestinal","cat","e47bf7f2d9fdac2d29b9e9aa2aa6eb10480abd128c4d2db4fd93e1a9b1e543be","pending","","","","false"
"knowledge_card","MVP-GI-005","猫反复呕吐不能只按毛球处理","gastrointestinal","cat","76ae241fa8aa244758de1149b77dd0e48eec020cb272af770233c66c83b1753e","pending","","","","false"
"knowledge_card","MVP-GI-006","猫反复吐出毛发也需要评估","gastrointestinal","cat","65b3fdd09e0bb8dbfc134c6053514ddb589d33b82c08a1c63eca601ccdd1bd6c","pending","","","","false"
"knowledge_card","MVP-GI-007","猫排便困难或便秘","gastrointestinal","cat","54d60fd2acea3f6e95f8fae16cd396f8b3b14805d5be2635e51872e9dc4a6490","pending","","","","false"
"knowledge_card","MVP-GI-008","犬反复吞咽或进食后反流","gastrointestinal","dog","c9b1a640d40fce12404f8e30dba7576bd94ea640319c1c906ad740fb243847c4","pending","","","","false"
"knowledge_card","MVP-GI-009","区分呕吐和反流","gastrointestinal","cat|dog","b1d0b815c1b343358b76d8ea5a4f60c6bdbfcb66998c9634ab47690ac96985d4","pending","","","","false"
"knowledge_card","MVP-GI-010","猫食欲突然下降","gastrointestinal","cat","1ac29780b3d5db4e2c7da63e5db5a167d45f040cd4d8e62b7c5a72fc6b5eab39","pending","","","","false"
"knowledge_card","MVP-GI-011","犬食欲突然下降","gastrointestinal","dog","f8d125f6d0aaaa277a6c1660847d0d40f1b59831c9e74d1ea456f1af5d08c6f1","pending","","","","false"
"knowledge_card","MVP-GI-012","犬出现黑色柏油样便","gastrointestinal","dog","2c089ddecbce3a4689981849d3d4d0e3482915ec390c8b03225114f7c62d6273","pending","","","","false"
"knowledge_card","MVP-GI-013","犬便中出现鲜红色血","gastrointestinal","dog","963c5646e385734a1ec341060700a342502f11d5627f701dcea25de3c4e2469a","pending","","","","false"
"knowledge_card","MVP-GI-014","犬换粮后出现软便","gastrointestinal","dog","bd9426ba7944fb9223815ad05872f331e26cbd1c6c699294be82c1e86d92b586","pending","","","","false"
"knowledge_card","MVP-NUT-001","判断猫是否超重","nutrition","cat","4b0c425ddaac3e064e8948cd6a15cb5072314b8eab0cf7d2c2f50dd485589964","pending","","","","false"
"knowledge_card","MVP-NUT-002","判断犬是否超重","nutrition","dog","d3d4e2a7d38620e5813b61d59e1e47f0c8cbde2ab058529f76f83c363631c878","pending","","","","false"
"knowledge_card","MVP-NUT-003","猫安全减重原则","nutrition","cat","34b984b4f494f7465b29a63b2f7d310ed9a8a88735abbd442e360f0f84413cfe","pending","","","","false"
"knowledge_card","MVP-NUT-004","猫零食会不会影响体重","nutrition","cat","f1e3de06166aaae8d54ea4c9cc3b4768b3674c0730167da258fde11f214bd8bb","pending","","","","false"
"knowledge_card","MVP-NUT-005","猫突然挑食","nutrition","cat","e665b31aa442105806bce341630f31298d182ee6d0c12697279bfc3b38b7807c","pending","","","","false"
"knowledge_card","MVP-NUT-006","犬突然挑食","nutrition","dog","bdd8789f7aacd2b082cc8e7128f3e80e0e6dc5db8f44d7e99c07bac6dc8d4508","pending","","","","false"
"knowledge_card","MVP-NUT-007","犬猫生食的风险","nutrition","cat|dog","9be2c02a2c7e4751da0042c686bf351fafa292aa6e1784accaa40a8c1f4082b0","pending","","","","false"
"knowledge_card","MVP-NUT-008","犬猫啃食骨头","nutrition","cat|dog","e1d791bf1e58d3d6a113b00e26ba8e1641770ac977ae54e01bf498468ecfcc3f","pending","","","","false"
"knowledge_card","MVP-NUT-009","监测饮水量变化","nutrition","cat|dog","33e5f58d8b3eec211ca5ccc42e697e3bf449e1ce993e273a0413271b397ed5e1","pending","","","","false"
"knowledge_card","MVP-NUT-010","选择主食和换粮记录","nutrition","cat|dog","427a7a93f21e30a212907194728647cc3c3f75bd8b9aae249209d224ebecf2b4","pending","","","","false"
"knowledge_card","MVP-PAR-001","猫身上发现跳蚤或黑色颗粒","parasites","cat","ba3e59ed6eee4ce4c92987cfdf61b98ddf3c6feaed36242bd7500699c7480f2c","pending","","","","false"
"knowledge_card","MVP-PAR-002","犬身上发现跳蚤","parasites","dog","700b46585c34bab2db57e085fd7ffcce7d292b0fa3504dc3567fb456bce5c419","pending","","","","false"
"knowledge_card","MVP-PAR-003","犬猫身上发现蜱虫","parasites","cat|dog","ccd3076eb11ab1b1b4009ce71756c6a8dcc654adedcaaafbfa1378f365bda671","pending","","","","false"
"knowledge_card","MVP-PAR-004","选择驱虫产品不能只看品牌","parasites","cat|dog","fc84fe361a858e28a7ad097a6401e58d1192e872e93bcbd3a6baffb56df7ac50","pending","","","","false"
"knowledge_card","MVP-PAR-005","驱虫频率需要个体化","parasites","cat|dog","585417341a0d375e39e98a87bccf1dc51c93e49966874191d978643ec9fef5f2","pending","","","","false"
"knowledge_card","MVP-PAR-006","粪便中看到虫体或米粒样节片","parasites","cat|dog","c0b47751878fe9b5a0e9a3c234a340348237aee944eeb70c3cfd0fdbf3e4fe39","pending","","","","false"
"knowledge_card","MVP-PAR-007","多宠家庭疑似耳螨","parasites","cat|dog","9448fcc337cac980b083e5dac284dcdc798482b2b34575f4d7fd4b5681f1dfa5","pending","","","","false"
"knowledge_card","MVP-PAR-008","清理宠物粪便与人宠共患风险","parasites","cat|dog","91312fb03e8f4da4aec24bc64bda55295e18ee18ffbeb300239be6b836413a61","pending","","","","false"
"knowledge_card","MVP-PAR-009","室内猫也需要评估寄生虫风险","parasites","cat","dc99634ab7140f0cb60fd72cac25075bbeb2f93f54b8db641dd812dc101d32bf","pending","","","","false"
"knowledge_card","MVP-GRM-001","季节性掉毛还是异常脱毛","grooming","cat|dog","20c2dcdce71b3867cadcd44d6ee077d39a36d8b57a4e7a328c57ba6696b466b4","pending","","","","false"
"knowledge_card","MVP-GRM-002","猫狗皮屑增多","grooming","cat|dog","dd88c72a74be334d408922c860371826966f41610c29571087a2b41e9179b006","pending","","","","false"
"knowledge_card","MVP-GRM-003","猫狗被毛打结","grooming","cat|dog","6312e89affce1f19c958466839289d4542c8b3e1ade2e9a20932f4d2849f2ad7","pending","","","","false"
"knowledge_card","MVP-GRM-004","指甲过长","grooming","cat|dog","6bbedf95e3474085e1e95b045a5a077dad82727367e247ae12ed777cbced4020","pending","","","","false"
"knowledge_card","MVP-GRM-005","指甲劈裂或出血","minor_injury","cat|dog","8ac756a5690e92f80db449b825654f19c20bbead75503457687380ca2af240ae","pending","","","","false"
"knowledge_card","MVP-GRM-006","散步后反复舔爪","dermatology","dog","15d7c7703a9300e4ba5f23692df12732c3b4c4a4aab3430a6b43d264cb588f8b","pending","","","","false"
"knowledge_card","MVP-GRM-007","短头犬皮褶发红有异味","dermatology","dog","830ffc69075c5bb356a3d39db609668bca84ab2f350a670a9443a23d969bc398","pending","","","","false"
"knowledge_card","MVP-GRM-008","洗澡后皮肤发红或瘙痒","dermatology","cat|dog","c7971d2885b8c87ff470081d431d418ab0def38e2eeb7c2cfe9fbe120a9f21be","pending","","","","false"
"knowledge_card","MVP-GRM-009","小面积表浅擦伤","minor_injury","cat|dog","afdd431c530dd0da8adb4a08681a25cd1eea201fb9db243b537368e98e60ac3c","pending","","","","false"
"knowledge_card","MVP-GRM-010","被其他动物咬伤","minor_injury","cat|dog","c3a868d7242bf53bfedd6ab7a7e3dc905c7472527495d993781b8b32dcf5c5c8","pending","","","","false"
"knowledge_card","MVP-BEH-001","猫突然在猫砂盆外排尿","behavior","cat","e722d23d70ef4ae4e458e082cb3abb7cdd24e0e16eb1c2cce88aeb450403743b","pending","","","","false"
"knowledge_card","MVP-BEH-002","多猫家庭猫砂盆资源","behavior","cat","688e2c4037a2a5035b55ccd308897cad64c5110136fbc5f9ac5e6d048272cab3","pending","","","","false"
"knowledge_card","MVP-BEH-003","室内猫缺少合适抓挠和活动资源","behavior","cat","8e6aa59324db3a6c3a9b4cb9a19a325aef71b04667abfb7c114899421c2d756b","pending","","","","false"
"knowledge_card","MVP-BEH-004","猫夜间异常叫喊","behavior","cat","f848ddee1bd3c3bf9a12835206dc11707f95c820abf22d0d1d573d0e78bf753f","pending","","","","false"
"knowledge_card","MVP-BEH-005","犬独处时破坏或嚎叫","behavior","dog","dfc480b5da19f94930f8a3e18624a32ba4ee08cf19a1e01997326364a9e5c6b7","pending","","","","false"
"knowledge_card","MVP-BEH-006","犬害怕雷声和巨响","behavior","dog","d1e0fbadfa7c1e473be18f6816614a24b41b4ad005f68c1cfc8d19faaf3128d1","pending","","","","false"
"knowledge_card","MVP-BEH-007","犬突然出现攻击行为","behavior","dog","e586f364c98b8989de2df87c7f702967b68e893a9826bb027f21209011aa65c8","pending","","","","false"
"knowledge_card","MVP-BEH-008","犬在家精力过剩","behavior","dog","60416a07847d04f4934eeb1eaed420e60fc58f8701e51295e3f9985fa929ead0","pending","","","","false"
"knowledge_card","MVP-BEH-009","新猫与原住猫逐步介绍","behavior","cat","e5df1466cb84f5e37cdbaec93a99bd1ebdf07b74c4083722df9b78b68b7fc281","pending","","","","false"
"knowledge_card","MVP-UR-001","犬排尿次数明显增加","urinary","dog","8dac1722969a47b6645784de440f2cd762870071c5b1037067a812426598b920","pending","","","","false"
"knowledge_card","MVP-UR-002","犬尿中带血","urinary","dog","c39f710539aeb70c74101666fd669d39a01f51eb5baf521cb5729de96b5b37b8","pending","","","","false"
"knowledge_card","MVP-UR-003","犬无法正常排尿","urinary","dog","064f4a3d7b00f2d90c494633272fefe1c4e87ec46f1c42a02f73b360d839a483","pending","","","","false"
"knowledge_card","MVP-UR-004","猫在外排尿先排除泌尿问题","urinary","cat","63ccb0e07ae9e194fdf52d2268706438f73eb2bb0ec470e8ded2026e8d3371e8","pending","","","","false"
"knowledge_card","MVP-UR-005","犬猫饮水和排尿同时增多","urinary","cat|dog","7446f184b8e47c85efe33c0f543c32946f9085f7d4b38763aa7b5919d612a222","pending","","","","false"
"knowledge_card","MVP-EYE-001","猫眼睛眯眼或突然发红","eye","cat","b332213e19eaaa1693d2a75855d0d9ffcbd372f5a3bce28585eb3c8df9fafe14","pending","","","","false"
"knowledge_card","MVP-EYE-002","猫突然撞东西或疑似视力下降","eye","cat","df550366a6dd116edb9dd126af4799c2b7bf993a89e53e3a96f03b4f4733b5b6","pending","","","","false"
"knowledge_card","MVP-EYE-003","犬眼部分泌物需结合疼痛和眼表检查","eye","dog","dfb1d70fc484fbac27ee8f401092dd8b213d364ad414e1198fa96e4396ff5e70","pending","","","","false"
"knowledge_card","MVP-EYE-004","猫少量眼鼻分泌物","eye","cat","7322d4572994f432b8937730c9462b81572282eb54be489ad00f34458d49ddfb","pending","","","","false"
"knowledge_card","MVP-PREV-001","成年犬猫基础健康检查","preventive_care","cat|dog","91cf7db341314b729325e5f62345b4cde61f6f9e1db3d59df36a23e7ac3b5bf1","pending","","","","false"
"knowledge_card","MVP-PREV-002","老年犬猫需要记录的变化","preventive_care","cat|dog","e193023698c3729431ea1df4860910946421e1153cd483aac3c9da1a8548fd29","pending","","","","false"
"knowledge_card","MVP-PREV-003","发现皮下小肿块如何记录","preventive_care","cat|dog","f3dfb9e36f3d67983c3c2cdbc04eac750ce3294d50e8bf3210960141d95ea16c","pending","","","","false"
"knowledge_card","MVP-PREV-004","绝育或手术后切口观察","preventive_care","cat|dog","faea19fdac9aef6a09910f0caa9618f79aee0bfd948f1f6e932d11651977082d","pending","","","","false"
"knowledge_card","MVP-PREV-005","接种后轻微不适与严重反应","preventive_care","cat|dog","4f999f8ae2cfc24508de01f308b2f24d21b9efcf11b3d693ec6989a3702116e7","pending","","","","false"
"knowledge_card","MVP-ANAL-001","犬频繁蹭屁股","anal_sac","dog","dee9ff1d1a49d13388cd37eb70cec2d64c2c0a18ce5f795838982c6f6b185c0d","pending","","","","false"
"knowledge_card","MVP-ANAL-002","肛门旁肿胀或疼痛","anal_sac","cat|dog","6d643c636ab79d5b2b7789b53ca1e11e3aaf578534fb5083a302ad86393c2c80","pending","","","","false"
"knowledge_card","MVP-MSK-004","运动后轻度跛行","musculoskeletal","cat|dog","ebc4a1be958ff722e9ea3d8f1513de8abcc1a39f835cb47399c26dffd7a6eee5","pending","","","","false"
"knowledge_card","MVP-SKIN-004","猫过度舔毛","dermatology","cat","e25bff72053ce6a18f827705d9b372a3586a8e064f0ae343c94ecf025401e1fd","pending","","","","false"
"knowledge_card","MVP-TOX-001","猫吃植物后呕吐","gastrointestinal","cat","c908ae7114a66450f6618f6bade26ce25113af99f93265dbcb3bbd7533f99db9","pending","","","","false"
"knowledge_card","MVP-HEAT-001","犬高温天气活动预防","preventive_care","dog","b0355c1715ebedb3bc5f07684e2671053d5ae051a9321d99add43c9643cd8b5f","pending","","","","false"
"knowledge_card","MVP-RENAL-001","老年猫饮水和尿量明显增加","renal","cat","a59e53c7026e6ea489494feada79c35e2ea4b5fd97e572ab92eb2a3f2431b356","pending","","","","false"
"knowledge_card","MVP-RENAL-002","猫体重下降并伴食欲下降","renal","cat","34213033af9b8f2e76dcf29c8a6791b2ac997564cf73f12fdb879ab7a65eb147","pending","","","","false"
"knowledge_card","MVP-RENAL-003","老年猫为什么要做肾脏筛查","renal","cat","f2685fc9c30a14ba575c45ffd4266baf079e5d37b261446a52543086dc8a0bd3","pending","","","","false"
"knowledge_card","MVP-RENAL-004","犬饮水和排尿持续增加","renal","dog","ef6f5fac5b2e79be2bca8b993a3739987f0d9f93566839b51a211f73852de2d2","pending","","","","false"
"knowledge_card","MVP-RENAL-005","犬慢性肾病可能出现的日常变化","renal","dog","443f8241bd5954bb703396d7e5782439904540d2b1cc1080eb41295e232038fe","pending","","","","false"
"knowledge_card","MVP-RENAL-006","猫狗尿量突然明显减少","renal","cat|dog","7f9c5856bf295ca13fa52dd3a101261046fd713bc9787fca46200aa66e99bbd8","pending","","","","false"
"knowledge_card","MVP-RENAL-007","肾病宠物不能自行调整药物和处方粮","renal","cat|dog","bda0c81adb8115baff2954997f58e6f7190617de471a58e9a9f6527f56364de7","pending","","","","false"
"knowledge_card","MVP-RENAL-008","高风险品种猫的多囊肾关注点","renal","cat","22211ffee4f714201638d7058d07efa44c1958d80b2b59c3f1c188797b942089","pending","","","","false"
"knowledge_card","MVP-ENDO-001","老年猫体重下降但食欲很好","endocrine","cat","7e27d3c8f89e33a2aa6e4afe8fa0c27f3eb798fb3669b286e0d11f0779e7f79b","pending","","","","false"
"knowledge_card","MVP-ENDO-002","猫甲状腺功能亢进的常见日常表现","endocrine","cat","1f51c511ea6de17af4626efa03aa5069369a915ed0d523d5b25ccc89b35ae648","pending","","","","false"
"knowledge_card","MVP-ENDO-003","老年猫定期体检时关注甲状腺","endocrine","cat","1f43e4b47f216faf1f3b1d507bf259bf65b19e80a47879f5b0b56dc4edd7760a","pending","","","","false"
"knowledge_card","MVP-ENDO-004","犬变胖、怕冷并且精神下降","endocrine","dog","61193485959d27bf117dcfd9120b363a20474ced23e0a34bcbf0e182f4aba1ac","pending","","","","false"
"knowledge_card","MVP-ENDO-005","不能只凭肥胖或掉毛判断犬甲减","endocrine","dog","cdbf37be6e54a0d43d3615147011dfd5df4d0951c49fce92672465e329119c61","pending","","","","false"
"knowledge_card","MVP-ENDO-006","犬糖尿病常见的早期线索","endocrine","dog","000430bfeedceb1eacbbbf1f9a345b2045bafaadb2a5173d08324efc54f2db69","pending","","","","false"
"knowledge_card","MVP-ENDO-007","猫糖尿病可能出现的日常变化","endocrine","cat","cfa071861aaa24fcab1362fbb13cadd3efd9a43d1e66971ab4da518a61a194a5","pending","","","","false"
"knowledge_card","MVP-ENDO-008","疑似糖尿病宠物出现呕吐和精神差","endocrine","cat|dog","ae0cfd8f4430c5661eee5ee9b1182a0e46c0087e9d6506be2beeec07c2c22259","pending","","","","false"
"knowledge_card","MVP-ENDO-009","接受降糖治疗宠物的低血糖警示","endocrine","cat|dog","8a2ba9f62068cf510176bcc1a91d37229c85b8d425b8563bc2a270b0abd611d2","pending","","","","false"
"knowledge_card","MVP-ENDO-010","多饮多尿不等于单一疾病","endocrine","cat|dog","1c52d11e95b11b2e3b8f94a544605cf5f2d9996ac7e020b835a445a20977d209","pending","","","","false"
"knowledge_card","MVP-CARD-001","犬体检发现心脏杂音但没有症状","cardiac","dog","6d7b11ade9fbaabdba6667707942695454f7ed0ea25b951912b0c66f954dae35","pending","","","","false"
"knowledge_card","MVP-CARD-002","犬静息或睡眠呼吸变快","cardiac","dog","ee4fcb0b6cdd9520d16c176748dbe1ddbd893f261fd5225659996f3a7a788317","pending","","","","false"
"knowledge_card","MVP-CARD-003","犬咳嗽不一定都是心脏病","cardiac","dog","3db16c7e31040e3d80b66c85e0b7af81a614c0d34d29f047eaa69b5a4fbadf8a","pending","","","","false"
"knowledge_card","MVP-CARD-004","猫肥厚型心肌病可能没有明显症状","cardiac","cat","fb7fc34027017553142bd98854c06042ce5f7825091103c75f9f665fed5eb722","pending","","","","false"
"knowledge_card","MVP-CARD-005","猫静息呼吸加快需要警惕心肺问题","cardiac","cat","2eef5ef2a1d7587abdcb1b25f777fd4c41e632283137b44dd7b85ba3b9a54377","pending","","","","false"
"knowledge_card","MVP-CARD-006","猫突然后肢疼痛或无法站立","cardiac","cat","0c027360d0164db01cb93ada6c2e3b841e346fb8cead6fd4611ea4d9c4081bc7","pending","","","","false"
"knowledge_card","MVP-CARD-007","犬短暂晕厥或倒地","cardiac","dog","4442ee0264e5f7c39c0ff7d54c80e6bb5eb0fe08b27155dca614b178cd0914ea","pending","","","","false"
"knowledge_card","MVP-CARD-008","犬心脏病药物不能因症状变化自行增减","cardiac","dog","07eb5c9f4cf5eaa346f502c458e08e36fbe87b734e339e15147ab858a2e7a862","pending","","","","false"
"knowledge_card","MVP-PH-001","犬胰腺炎可能出现哪些表现","pancreatic_hepatobiliary","dog","d8208b7041efb0aa0ac06d38b38767b35e1760acbfa21da32b66001a6c64d92d","pending","","","","false"
"knowledge_card","MVP-PH-002","犬胰腺炎不一定都有明显腹痛","pancreatic_hepatobiliary","dog","49a8c18b787943b49236a09c30a6e08e3670fc29e61ea1271ea1e9c137275e64","pending","","","","false"
"knowledge_card","MVP-PH-003","犬长期消瘦并且粪便量多","pancreatic_hepatobiliary","dog","59a3d8f323cb857a2365ba14f98f233afec01e3f490286e78089e747349e61fd","pending","","","","false"
"knowledge_card","MVP-PH-004","犬肝胆疾病的非特异性表现","pancreatic_hepatobiliary","dog","9583395951270631f798059970150e4ce97db495616e8c1ebfb192ca6bf41eb9","pending","","","","false"
"knowledge_card","MVP-PH-005","犬出现黄疸","pancreatic_hepatobiliary","dog","33244853417b4c7b80350613f12734b02b68ddbf99f96c493a7651830088c921","pending","","","","false"
"knowledge_card","MVP-PH-006","犬腹部逐渐膨大疑似腹水","pancreatic_hepatobiliary","dog","fc7471e50e4b1d41cab7a413d20d0409fad1864f52f914c146166d3c2804ce38","pending","","","","false"
"knowledge_card","MVP-PH-007","犬持续呕吐并伴腹部疼痛","pancreatic_hepatobiliary","dog","c978bc4b7f072d57bd950da9ea631c482e550d7c332e5eb2204bb8c206bed5ee","pending","","","","false"
"knowledge_card","MVP-INF-001","未完成免疫幼犬突然呕吐腹泻","infectious","dog","8f21a45584ba39b9a7c0246efc55d6c0c5c8e2af3e432254d1fca37c1ea3d33d","pending","","","","false"
"knowledge_card","MVP-INF-002","犬细小病毒的家庭隔离注意","infectious","dog","59fe745d81307ed0c11180cce26bae0ec51c745ae952d0b6d67040337cdbb606","pending","","","","false"
"knowledge_card","MVP-INF-003","幼犬疫苗未完成时的高风险接触","infectious","dog","2d8ef85082412ac76bdd471de03d2b7ed9837f01152e35f49c1d301dffd25c5c","pending","","","","false"
"knowledge_card","MVP-INF-004","幼猫突然发热、呕吐和严重腹泻","infectious","cat","2cef6e3a03d24458037c7166de53324b119120cb7a778a8ecb0f88d79202df9d","pending","","","","false"
"knowledge_card","MVP-INF-005","新领养猫什么时候考虑FeLV/FIV检测","infectious","cat","dca8b1b113660b7ef5684dd24db5b06fd76ae12ed0f5d98ed374ebf238c3935e","pending","","","","false"
"knowledge_card","MVP-INF-006","猫白血病病毒感染可能表现很不典型","infectious","cat","d7db51119563e6634045d2cfddb679471fcf4732931e3c859b641a7ebbfb1a64","pending","","","","false"
"knowledge_card","MVP-INF-007","猫打斗和FIV暴露风险","infectious","cat","288b4f588999e3ad59f5664f97f573c4ea98af00282eab9816ae8859f9654f9e","pending","","","","false"
"knowledge_card","MVP-INF-008","不能根据外观判断猫是否感染FeLV或FIV","infectious","cat","338b7b16cd0c838d5cde0c90634787dc03370907f1d29789b7e7bfa0104370ba","pending","","","","false"
"knowledge_card","MVP-INF-009","犬发热呕吐并出现黄疸","infectious","dog","fe616777387940ed561b7195a5471da091ff358a1d59cf17b74692c52c7b6491","pending","","","","false"
"knowledge_card","MVP-INF-010","疑似钩端螺旋体病时的家庭防护","infectious","dog","0cadb00d7467256b58bbce6fcd2502a4502a89c83cde676869877cfad4b94278","pending","","","","false"
"knowledge_card","MVP-RESP-004","猫反复咳嗽或喘鸣可能与哮喘有关","respiratory","cat","654ef0b7e7db0b1863c83fcb40f3f35cf80e75134e193d43e7465e293095cb05","pending","","","","false"
"knowledge_card","MVP-RESP-005","猫哮喘样发作时不能只等拍视频","respiratory","cat","e161880cdc5a182c11a16d09754787a0053c2ce71490998b20f6e93768fa11e1","pending","","","","false"
"knowledge_card","MVP-RESP-006","短头犬长期打鼾和呼吸噪音不是完全正常","respiratory","dog","5bdf93dd670ae682be210984cfcadedf83201f826ae6295b06ebfd6d3608ce3e","pending","","","","false"
"knowledge_card","MVP-RESP-007","短头犬运动和高温耐受差","respiratory","dog","96a9d61c3df8f94c55cb79d8ff589aa62b6f27452da13459cca13030ffdb32db","pending","","","","false"
"knowledge_card","MVP-RESP-008","短头犬睡眠中出现憋气或频繁惊醒","respiratory","dog","b16ea4d9f607fc34e724a80ebc5fe5856d0d0f615bf102c9bfd406cd523fa56d","pending","","","","false"
