card_id,title,changed_fields
MVP-GRM-001,季节性掉毛还是异常脱毛,source_supported_simple_facts；questions_to_ask；safe_next_step；red_flags
MVP-GRM-002,猫狗皮屑增多,questions_to_ask；safe_next_step
MVP-GRM-003,猫狗被毛打结,safe_next_step
MVP-GRM-004,指甲过长,safe_next_step
MVP-GRM-006,散步后反复舔爪,questions_to_ask；safe_next_step
MVP-GRM-007,短头犬皮褶发红有异味,questions_to_ask；safe_next_step
MVP-GRM-008,洗澡后皮肤发红或瘙痒,questions_to_ask；safe_next_step
MVP-GRM-009,小面积表浅擦伤,questions_to_ask；safe_next_step
MVP-GRM-010,被其他动物咬伤,questions_to_ask；safe_next_step
MVP-BEH-001,猫突然在猫砂盆外排尿,questions_to_ask；safe_next_step
MVP-BEH-002,多猫家庭猫砂盆资源,questions_to_ask；safe_next_step
MVP-BEH-003,室内猫缺少合适抓挠和活动资源,questions_to_ask；safe_next_step
MVP-BEH-004,猫夜间异常叫喊,questions_to_ask；safe_next_step
MVP-BEH-005,犬独处时破坏或嚎叫,questions_to_ask；safe_next_step
MVP-BEH-006,犬害怕雷声和巨响,questions_to_ask；safe_next_step；red_flags
MVP-BEH-007,犬突然出现攻击行为,safe_next_step
MVP-BEH-008,犬在家精力过剩,safe_next_step
MVP-BEH-009,新猫与原住猫逐步介绍,safe_next_step
MVP-UR-001,犬排尿次数明显增加,questions_to_ask；safe_next_step
MVP-UR-002,犬尿中带血,questions_to_ask
MVP-UR-004,猫在外排尿先排除泌尿问题,questions_to_ask；safe_next_step
MVP-UR-005,犬猫饮水和排尿同时增多,questions_to_ask
MVP-EYE-001,猫眼睛眯眼或突然发红,safe_next_step
MVP-EYE-002,猫突然撞东西或疑似视力下降,questions_to_ask；safe_next_step
MVP-EYE-003,犬眼部分泌物需结合疼痛和眼表检查,questions_to_ask；safe_next_step；red_flags
MVP-EYE-004,猫少量眼鼻分泌物,questions_to_ask；safe_next_step
MVP-PREV-001,成年犬猫基础健康检查,owner_observable_signs；questions_to_ask；safe_next_step
MVP-PREV-002,老年犬猫需要记录的变化,questions_to_ask；safe_next_step
MVP-PREV-003,发现皮下小肿块如何记录,questions_to_ask；safe_next_step
MVP-PREV-005,接种后轻微不适与严重反应,owner_observable_signs；questions_to_ask；safe_next_step
MVP-ANAL-002,肛门旁肿胀或疼痛,owner_observable_signs；questions_to_ask；safe_next_step
MVP-MSK-004,运动后轻度跛行,safe_next_step
MVP-SKIN-004,猫过度舔毛,questions_to_ask；safe_next_step
MVP-TOX-001,猫吃植物后呕吐,safe_next_step
MVP-HEAT-001,犬高温天气活动预防,safe_next_step
MVP-RENAL-001,老年猫饮水和尿量明显增加,questions_to_ask；safe_next_step
MVP-RENAL-002,猫体重下降并伴食欲下降,questions_to_ask；safe_next_step；red_flags
MVP-RENAL-003,老年猫为什么要做肾脏筛查,questions_to_ask；safe_next_step
MVP-RENAL-004,犬饮水和排尿持续增加,questions_to_ask；safe_next_step
MVP-RENAL-005,犬慢性肾病可能出现的日常变化,questions_to_ask；safe_next_step
MVP-RENAL-006,猫狗尿量突然明显减少,questions_to_ask；safe_next_step
MVP-RENAL-007,肾病宠物不能自行调整药物和处方粮,questions_to_ask；safe_next_step
MVP-RENAL-008,高风险品种猫的多囊肾关注点,questions_to_ask；safe_next_step
MVP-ENDO-001,老年猫体重下降但食欲很好,questions_to_ask；safe_next_step
MVP-ENDO-002,猫甲状腺功能亢进的常见日常表现,questions_to_ask；safe_next_step
MVP-ENDO-003,老年猫定期体检时关注甲状腺,owner_observable_signs；questions_to_ask；safe_next_step
MVP-ENDO-004,犬变胖、怕冷并且精神下降,questions_to_ask；safe_next_step
MVP-ENDO-005,不能只凭肥胖或掉毛判断犬甲减,safe_next_step
MVP-ENDO-006,犬糖尿病常见的早期线索,questions_to_ask；safe_next_step
MVP-ENDO-007,猫糖尿病可能出现的日常变化,questions_to_ask；safe_next_step
MVP-ENDO-008,疑似糖尿病宠物出现呕吐和精神差,questions_to_ask
MVP-ENDO-010,多饮多尿不等于单一疾病,questions_to_ask；safe_next_step
MVP-CARD-001,犬体检发现心脏杂音但没有症状,questions_to_ask；safe_next_step
MVP-CARD-002,犬静息或睡眠呼吸变快,safe_next_step
MVP-CARD-003,犬咳嗽不一定都是心脏病,questions_to_ask；safe_next_step
MVP-CARD-005,猫静息呼吸加快需要警惕心肺问题,questions_to_ask；safe_next_step
MVP-CARD-007,犬短暂晕厥或倒地,safe_next_step
MVP-CARD-008,犬心脏病药物不能因症状变化自行增减,questions_to_ask；safe_next_step
MVP-PH-001,犬胰腺炎可能出现哪些表现,safe_next_step
MVP-PH-002,犬胰腺炎不一定都有明显腹痛,questions_to_ask；safe_next_step
MVP-PH-003,犬长期消瘦并且粪便量多,questions_to_ask；safe_next_step
MVP-PH-004,犬肝胆疾病的非特异性表现,questions_to_ask；safe_next_step
MVP-PH-006,犬腹部逐渐膨大疑似腹水,safe_next_step
MVP-PH-007,犬持续呕吐并伴腹部疼痛,safe_next_step
MVP-INF-001,未完成免疫幼犬突然呕吐腹泻,safe_next_step
MVP-INF-003,幼犬疫苗未完成时的高风险接触,owner_observable_signs；questions_to_ask；safe_next_step；red_flags
MVP-INF-004,幼猫突然发热、呕吐和严重腹泻,safe_next_step
MVP-INF-007,猫打斗和FIV暴露风险,owner_observable_signs；questions_to_ask；safe_next_step
MVP-INF-008,不能根据外观判断猫是否感染FeLV或FIV,questions_to_ask；safe_next_step
MVP-INF-009,犬发热呕吐并出现黄疸,questions_to_ask；safe_next_step
MVP-INF-010,疑似钩端螺旋体病时的家庭防护,safe_next_step
MVP-RESP-004,猫反复咳嗽或喘鸣可能与哮喘有关,questions_to_ask；safe_next_step
MVP-RESP-006,短头犬长期打鼾和呼吸噪音不是完全正常,questions_to_ask；safe_next_step
MVP-RESP-007,短头犬运动和高温耐受差,safe_next_step
MVP-RESP-008,短头犬睡眠中出现憋气或频繁惊醒,safe_next_step
MVP-RESP-009,猫呼吸困难的原因不能只按哮喘处理,questions_to_ask；safe_next_step
MVP-RESP-010,如何记录犬的静息呼吸变化,questions_to_ask；safe_next_step；red_flags
MVP-REPRO-001,未绝育母犬发情后精神差并喝水增多,questions_to_ask
MVP-REPRO-002,未绝育母犬出现脓性阴道分泌物,safe_next_step
MVP-REPRO-003,子宫蓄脓可能没有阴道分泌物,questions_to_ask；safe_next_step
MVP-REPRO-004,未绝育母猫出现发热、分泌物或腹部异常,questions_to_ask；safe_next_step
MVP-DERM-008,猫狗出现圆形脱毛和皮屑,questions_to_ask；safe_next_step
MVP-DERM-009,疑似宠物皮肤癣菌病需要注意人宠传播,questions_to_ask；safe_next_step
MVP-DERM-010,不能只凭照片确定猫癣或狗癣,questions_to_ask；safe_next_step
MVP-NEURO-002,宠物抽搐时应该记录什么,owner_observable_signs；questions_to_ask；safe_next_step
MVP-NEURO-003,短时间内连续多次抽搐,questions_to_ask
MVP-ORAL-005,猫吃东西时突然掉食或偏一侧咀嚼,questions_to_ask；safe_next_step；red_flags
MVP-ORAL-006,猫牙吸收可能有哪些表现,safe_next_step
MVP-ORAL-007,猫口腔大面积发红并流口水,safe_next_step
MVP-ORAL-008,犬牙齿松动或牙龈退缩,questions_to_ask；safe_next_step
MVP-ORAL-009,犬猫口腔外伤或牙齿缺损伴疼痛,safe_next_step
MVP-ORAL-010,幼犬乳牙没有脱落,safe_next_step
MVP-ORAL-012,犬猫口腔里发现肿块,questions_to_ask；safe_next_step
MVP-ORAL-014,宠物口臭突然明显加重,safe_next_step
MVP-DERM-011,犬皮肤出现脓疱和环形皮屑,questions_to_ask；safe_next_step
MVP-DERM-012,犬反复脓皮症不能只重复用药,questions_to_ask；safe_next_step
MVP-DERM-013,犬皮肤油腻有酸臭味,questions_to_ask；safe_next_step
MVP-DERM-014,犬脚趾间红肿并反复舔咬,questions_to_ask；safe_next_step
MVP-DERM-015,犬突然出现湿润渗液的热斑,questions_to_ask；safe_next_step
MVP-DERM-016,犬尾根部剧烈瘙痒和掉毛,questions_to_ask；safe_next_step
MVP-DERM-017,猫身体出现粟粒样小结痂,questions_to_ask；safe_next_step
MVP-DERM-018,猫脸部耳缘圆形脱毛结痂需检查,questions_to_ask；safe_next_step
MVP-DERM-019,犬皮肤反复感染时为什么要做细胞学,questions_to_ask；safe_next_step
MVP-DERM-020,怀疑食物过敏不能只靠一次换粮,questions_to_ask；safe_next_step
MVP-DERM-021,犬腹部腋下反复发红瘙痒,questions_to_ask；safe_next_step
MVP-EYE-007,猫眼睛突然大量流泪并眯眼,questions_to_ask；safe_next_step
MVP-EYE-009,短头犬眼球突出容易受伤,questions_to_ask；safe_next_step
MVP-EYE-010,犬眼睛干涩并有黏稠分泌物,questions_to_ask；safe_next_step
MVP-EYE-011,猫两只瞳孔大小突然不一样,safe_next_step
MVP-EYE-012,犬内眼角出现红色圆形组织,safe_next_step
MVP-EYE-013,犬眼睛突然出现蓝白色浑浊,safe_next_step
MVP-EYE-014,猫眼鼻分泌物不能只按颜色判断是否细菌感染,questions_to_ask；safe_next_step
MVP-EAR-004,犬外耳炎反复发作,questions_to_ask；safe_next_step
MVP-EAR-005,犬耳廓突然鼓起像水袋,questions_to_ask；safe_next_step
MVP-EAR-007,猫耳缘结痂脱毛不一定只是耳螨,source_supported_simple_facts；questions_to_ask；safe_next_step
MVP-EAR-008,宠物耳道疼痛时先检查再清洁,questions_to_ask；safe_next_step
MVP-EAR-009,耳病伴头歪或走路不稳,safe_next_step
MVP-PED-001,新生幼犬幼猫不吃奶,questions_to_ask；safe_next_step
MVP-PED-002,新生幼犬体重不增加,questions_to_ask
MVP-PED-005,幼犬幼猫断奶期软便,questions_to_ask；safe_next_step
MVP-PED-006,幼犬幼猫如何安全过渡到固体食物,questions_to_ask；safe_next_step
MVP-PED-007,幼犬换牙期啃咬增多,questions_to_ask；safe_next_step；red_flags
MVP-PED-008,幼猫换牙期持续口臭或牙龈发红需检查,safe_next_step
MVP-PED-009,幼犬幼猫肚脐鼓包需检查,safe_next_step
MVP-PED-010,幼犬幼猫体重增长过慢,questions_to_ask；safe_next_step
MVP-PED-011,幼犬幼猫生病后疫苗是否延后,questions_to_ask；safe_next_step
MVP-SENIOR-001,老年犬夜间醒来走动或叫,questions_to_ask；safe_next_step；red_flags
MVP-SENIOR-002,老年犬在熟悉环境中迷路,questions_to_ask；safe_next_step；red_flags
MVP-SENIOR-003,老年犬突然开始在家排泄,questions_to_ask；safe_next_step
MVP-SENIOR-004,老年犬与家人互动明显减少,questions_to_ask；safe_next_step
MVP-SENIOR-005,老年猫夜间大声叫,questions_to_ask；safe_next_step
MVP-SENIOR-006,老年猫在熟悉家中显得迷茫,questions_to_ask；safe_next_step
MVP-SENIOR-007,老年宠物行为变化先排除疼痛和疾病,safe_next_step
MVP-SENIOR-008,老年认知变化如何做家庭记录,questions_to_ask；safe_next_step
MVP-REPRO-005,猫是否怀孕不能只摸肚子判断,questions_to_ask；safe_next_step
MVP-REPRO-006,怀孕母猫体重和食欲怎么观察,owner_observable_signs；questions_to_ask；safe_next_step
MVP-REPRO-008,母犬临近分娩需要准备哪些记录,questions_to_ask；safe_next_step
MVP-REPRO-011,母猫产后阴道分泌物异常,questions_to_ask
MVP-TOX-003,犬误食巧克力或可可制品,questions_to_ask；safe_next_step
MVP-TOX-004,犬误食木糖醇食品,questions_to_ask；safe_next_step
MVP-TOX-005,犬误食葡萄或葡萄干,questions_to_ask；safe_next_step
MVP-TOX-006,犬猫误食洋葱蒜或葱属食物,questions_to_ask；safe_next_step
MVP-TOX-007,犬猫误食酒精或未烘烤酵母面团,questions_to_ask；safe_next_step
MVP-TOX-008,犬误食夏威夷果,questions_to_ask；safe_next_step
MVP-TOX-009,犬猫误食咖啡因制品,questions_to_ask；safe_next_step
MVP-TOX-011,猫接触犬用含氯菊酯驱虫产品,questions_to_ask；safe_next_step
MVP-TOX-012,犬猫误食人用止痛药,questions_to_ask；safe_next_step
MVP-TOX-014,犬误食抗凝血灭鼠药,questions_to_ask；safe_next_step
MVP-TOX-015,猫舔到含苯扎氯铵的浓缩消毒剂,questions_to_ask
MVP-TOX-016,犬猫接触成分不明的杀虫剂或化学品,questions_to_ask；safe_next_step
MVP-TOX-017,犬猫误食不明植物,questions_to_ask；safe_next_step
MVP-DX-002,红细胞或血红蛋白偏低怎么理解,questions_to_ask；safe_next_step
MVP-DX-003,猫白细胞升高不能单独证明细菌感染,questions_to_ask；safe_next_step
MVP-DX-004,犬ALT或ALP升高不等于肝功能衰竭,questions_to_ask
MVP-DX-005,肌酐和尿素需要结合水合及尿液结果,questions_to_ask；safe_next_step
MVP-DX-006,尿比重偏低或偏高怎么理解,owner_observable_signs；questions_to_ask；safe_next_step
MVP-DX-007,尿蛋白阳性需要确认来源和持续性,questions_to_ask；safe_next_step
MVP-DX-008,尿潜血阳性不一定都是膀胱出血,safe_next_step
MVP-DX-009,猫血糖升高需区分应激与糖尿病,questions_to_ask；safe_next_step
MVP-MON-001,慢性肾病猫如何记录体重和食欲,safe_next_step
MVP-MON-002,慢性肾病宠物如何记录饮水和排尿,owner_observable_signs；questions_to_ask；safe_next_step；red_flags
MVP-MON-004,糖尿病宠物家庭日志要记什么,questions_to_ask；safe_next_step
MVP-MON-005,骨关节炎宠物如何记录活动变化,safe_next_step
MVP-MON-006,犬过敏性皮肤病如何记录复发诱因,safe_next_step
MVP-MON-007,癫痫宠物发作日志要记录什么,questions_to_ask
MVP-MON-009,犬慢病药物漏服后不要自行加倍,safe_next_step
